DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1985,2.77,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1986,3.86,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1987,3.07,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1988,9.23,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1989,4.76,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1990,2.47,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1991,5.72,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1992,33.82,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1993,3.94,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1994,48.64,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1995,6.80,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1996,0.87,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1997,2.91,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1998,19.71,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1999,5.82,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,2000,16.53,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,2001,6.27,,
